0,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,Cents/kWh,USA
State,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,10.193333333333333,6.608333333333333,8.039166666666668,8.988333333333332,9.968333333333332,7.045833333333334,10.049166666666666,6.009166666666666,8.4275,7.7875000000000005,7.379166666666666,10.255,7.815833333333334,4.896666666666666,9.875833333333333,6.909166666666668,7.824166666666668,5.7075000000000005,7.403333333333333,9.713333333333333,7.261666666666666,9.296666666666665,7.831666666666666,6.819166666666668,7.348333333333334,6.911666666666666,5.358333333333333,7.86,6.381666666666668,6.2025,10.358333333333333,10.313333333333334,8.957500000000001,5.753333333333334,11.455833333333333,8.0925,6.545833333333333,4.739999999999999,9.295833333333334,9.869166666666668,7.168333333333333,6.994999999999998,5.692500000000002,7.155833333333335,7.142500000000001,7.277500000000001,9.201666666666668,4.3808333333333325,6.643333333333334,5.921666666666667,6.025833333333332,7.532458590662501
1991,10.729166666666666,6.683333333333334,8.046666666666667,9.1125,10.7875,7.0775,10.544166666666667,6.411666666666666,8.605833333333335,7.938333333333335,7.424166666666667,10.532500000000002,7.771666666666668,4.915833333333333,9.871666666666668,6.77,7.8125,5.689166666666668,7.388333333333333,10.410000000000002,7.869166666666665,10.455000000000002,8.053333333333333,6.935,7.358333333333333,6.901666666666667,5.672499999999999,7.950833333333333,6.371666666666666,6.068333333333334,10.44,10.75,9.103333333333333,5.945,11.964166666666666,8.185833333333333,6.975833333333333,4.835833333333333,9.631666666666666,10.987499999999999,7.230833333333333,6.973333333333333,5.650833333333334,7.521666666666666,7.1325,7.3325,9.323333333333334,4.360833333333334,6.7425,5.930833333333332,6.06,7.726408496310355
1992,10.874166666666667,6.701666666666667,8.261666666666665,9.527500000000002,11.060833333333333,7.224166666666666,11.114166666666668,6.565000000000001,8.704166666666667,7.7683333333333335,7.670000000000001,10.8925,8.080833333333334,4.961666666666666,10.3525,6.901666666666666,7.890833333333332,5.713333333333334,7.514166666666668,10.645000000000001,8.031666666666665,11.337499999999999,8.111666666666666,7.033333333333332,7.440833333333333,7.031666666666665,5.789999999999999,8.13,6.48,6.301666666666667,11.383333333333333,10.843333333333334,9.082500000000001,6.240833333333334,12.473333333333336,8.312499999999998,7.127500000000001,4.9366666666666665,9.7125,11.188333333333333,7.204166666666665,7.1816666666666675,5.709166666666667,7.6825,6.973333333333334,7.680833333333333,9.333333333333334,4.443333333333333,6.928333333333335,6.195,6.138333333333333,7.9119899236354945
1993,11.205,6.815,8.240833333333333,9.563333333333334,11.298333333333334,7.252500000000001,11.435000000000002,7.037499999999999,9.021666666666667,7.989166666666667,7.652499999999999,12.279166666666669,8.038333333333334,5.0025,10.419166666666666,6.734166666666667,7.821666666666668,5.7225,7.719166666666667,11.041666666666666,8.228333333333333,11.420000000000002,8.145,7.106666666666668,7.178333333333335,7.115833333333332,5.746666666666666,8.185,6.499166666666667,6.25,12.350000000000001,11.347499999999998,9.188333333333333,6.593333333333334,13.178333333333333,8.41,7.078333333333334,5.015,9.5925,11.396666666666668,7.324166666666666,7.110833333333332,5.766666666666667,7.881666666666668,6.855,7.600833333333334,9.653333333333332,4.57,7.042500000000001,6.3325,6.0200000000000005,8.057973378820595
1994,11.365833333333333,6.704166666666666,8.061666666666667,9.223333333333331,11.414166666666667,7.365833333333334,11.542500000000002,7.303333333333334,8.96,7.793333333333333,7.642499999999999,12.443333333333333,8.098333333333334,5.104166666666666,10.023333333333332,6.8616666666666655,7.849999999999999,5.821666666666666,7.590833333333332,11.134166666666667,8.4325,12.303333333333335,8.2325,7.160000000000001,7.231666666666668,7.0683333333333325,5.934166666666666,8.204166666666666,6.5633333333333335,6.266666666666667,12.949999999999998,11.500833333333333,9.1425,7.261666666666667,13.543333333333335,8.645833333333334,6.919166666666668,5.324166666666668,9.624166666666666,11.2525,7.5225,7.1125,5.9025,7.975833333333334,6.916666666666665,7.833333333333332,9.78416666666667,4.945833333333334,7.083333333333333,6.409166666666667,6.085833333333333,8.153489458986732
1995,11.281666666666666,6.7025,7.954166666666666,9.008333333333333,11.596666666666666,7.423333333333332,11.985000000000001,7.442499999999999,9.09083333333333,7.835833333333333,7.72,13.331666666666665,8.235833333333334,5.357499999999999,10.382500000000002,6.822500000000001,7.865833333333334,5.659166666666667,7.196666666666668,11.272499999999999,8.436666666666667,12.491666666666669,8.308333333333334,7.156666666666665,7.1483333333333325,7.003333333333333,6.075,8.136666666666668,6.345833333333334,6.305000000000001,13.523333333333333,11.92,8.928333333333333,7.201666666666667,13.890833333333333,8.654166666666665,6.7749999999999995,5.5008333333333335,9.751666666666667,11.449166666666665,7.536666666666666,7.105833333333334,5.932500000000001,7.685,6.945,7.904166666666666,10.387500000000001,4.934166666666666,6.986666666666668,6.552500000000001,6.122500000000001,8.227042291447663
1996,11.435833333333333,6.635000000000001,7.753333333333333,8.875833333333334,11.311666666666667,7.509166666666666,12.069166666666668,7.688333333333333,9.020833333333334,8.0025,7.5475,14.251666666666667,8.167499999999999,5.293333333333333,10.381666666666666,6.844166666666667,7.809166666666666,5.571666666666666,7.516666666666666,11.269166666666669,8.334166666666665,12.576666666666666,8.463333333333333,7.142499999999999,7.015833333333336,7.048333333333333,6.215833333333332,8.088333333333333,6.345833333333334,6.2775,13.464166666666666,11.965833333333336,8.933333333333334,6.984999999999999,14.040833333333337,8.659166666666668,6.623333333333334,5.709166666666667,9.810833333333333,11.842500000000001,7.526666666666666,7.053333333333332,5.9025,7.670833333333334,6.962500000000001,7.676666666666666,10.881666666666668,5.011666666666668,6.884166666666665,6.4191666666666665,6.177499999999999,8.25403945140063
1997,11.4825,6.764166666666665,7.791666666666667,8.731666666666667,11.487500000000002,7.432499999999998,12.170833333333333,7.7441666666666675,9.245,8.093333333333334,7.644999999999999,14.805,8.199166666666667,5.183333333333333,10.48,7.011666666666666,7.651666666666667,5.6191666666666675,7.373333333333334,11.593333333333334,8.343333333333334,12.741666666666667,8.56,7.237500000000001,7.006666666666665,7.026666666666667,6.402500000000001,8.053333333333333,6.430000000000001,6.354166666666665,13.666666666666666,12.04166666666667,8.935,6.850833333333334,14.108333333333334,8.690833333333332,6.575833333333333,5.601666666666667,9.939166666666665,12.135000000000003,7.525833333333334,7.129166666666667,6.044166666666668,7.754166666666666,6.895833333333333,7.794999999999999,11.350000000000001,4.911666666666666,6.882499999999999,6.295833333333333,6.291666666666668,8.319800941974897
